"gender","age","O","C","E","A","N","mach"
1,26,7,5,5.5,5,1,3.75
1,18,3.5,5,2,4,2,4.55
2,15,4.5,5,1,1,7,4.9
2,31,6,5.5,6,4.5,6.5,3.9
1,20,5,5,2,4,5,4.25
1,17,5,6,1.5,4.5,1.5,3.8
1,19,6.5,5,5,4,2.5,3.3
1,37,5,5.5,2,4,2,3.85
1,18,7,3,3.5,3.5,5.5,4.1
1,17,6,7,4.5,4.5,4.5,3.15
1,26,2.5,6,2,3,1.5,4.4
1,40,4,6,2,3,1.5,3.15
1,79,4,7,5.5,5.5,4,4.2
1,21,4.5,6,2.5,4,1,3.85
1,25,6,6.5,4,4,3.5,4.35
2,32,5.5,4.5,3.5,4,5.5,3
1,37,6.5,5,7,4,1.5,2.95
2,25,3,4,2.5,3,6.5,2.8
1,37,4,3.5,3.5,3.5,3.5,3.4
1,20,6,7,3,2,3,4.65
1,31,6.5,6,6,4.5,4.5,4.35
1,42,7,6,1,5,2,4.3
1,23,4.5,7,4,2.5,1.5,3.9
1,32,6.5,6,5.5,4,5,3.25
1,16,5,6,1,2,1.5,4.55
2,15,7,5,1,3.5,3.5,3.55
1,45,5,5,4.5,5.5,2.5,1.65
1,36,5.5,7,5,4,3,4.05
1,50,6.5,7,7,3.5,4,2.25
2,13,7,6,1,3.5,1,4
1,28,5,5.5,4.5,2.5,5,3.85
1,26,4.5,2,3.5,4,5,3
1,26,6.5,5.5,2.5,4.5,1,3.35
1,43,7,6,1.5,4.5,5.5,2.9
2,30,6,5.5,2.5,6,2.5,3.85
1,48,5.5,7,5,5,6.5,2.95
2,33,5.5,4.5,1,2.5,6,4.35
1,40,5.5,5,1,6.5,2,3.7
2,20,6,4.5,1,3,1,3.35
1,19,4.5,4,4.5,3.5,2.5,4.6
2,24,3.5,5,2.5,5.5,5.5,3.15
1,33,5,5,3,4.5,4,4
2,34,7,5,4,7,6,4.4
2,17,3,3,1.5,2.5,2.5,3.9
2,17,7,2.5,1,4,2.5,3.55
1,17,5.5,4.5,1.5,4,2.5,3.8
1,38,7,3,5.5,5,4.5,3.2
2,23,7,6.5,6.5,4.5,1.5,3.55
1,32,5.5,5.5,4,3.5,2.5,3.55
2,21,4,7,4,2,4.5,4.8
1,26,7,7,5,4,3.5,3.4
1,23,6.5,6,2,3,1,4.6
1,20,3.5,2,4.5,4.5,4.5,4
2,19,6.5,2.5,2,4.5,6.5,2.2
1,21,6.5,4.5,7,2.5,5.5,3.3
2,17,6.5,3.5,1.5,3.5,4,4.2
1,24,7,6,1,3,6,3.5
1,29,7,4,3.5,3.5,4,3.2
2,26,7,7,6,4.5,4.5,3.25
1,22,4.5,2.5,3,2.5,5.5,3.85
1,20,5,3,2.5,4.5,6.5,3.3
1,33,5,4.5,4,2.5,4,3.65
1,18,4.5,4,6,4,2.5,4.2
2,24,6,6.5,4,5,3.5,3.25
2,39,6.5,6,6,6,2.5,1.9
2,16,4,4.5,1.5,4.5,4.5,3.4
1,22,4,3.5,3,4,3.5,2.6
2,43,5,4.5,4.5,4.5,3,2.35
2,56,5.5,3.5,2.5,6,4,3.85
1,34,7,6,6,3,6,4.25
1,31,5.5,6,3.5,5,1.5,3.35
2,27,1.5,2,4,4,7,3.1
1,45,6.5,3,4.5,4.5,6.5,2.05
1,35,6.5,3.5,4,4.5,3.5,3.4
2,25,4.5,4,1,3,6,3.45
1,33,5.5,6.5,5,3.5,2,4.2
1,19,4.5,4.5,3,1.5,4,4.15
1,28,5.5,5,4,2.5,5,3.4
2,20,3,3.5,2.5,3.5,5.5,3.9
1,41,7,4.5,7,4.5,5,2.75
1,22,5,6,1.5,3,4,3.9
2,17,6,6,5,2.5,5.5,2.95
1,32,4.5,6.5,2,1.5,1,4.2
1,41,7,6,4,5,2.5,3.05
1,20,6,4,4.5,4.5,6,4
2,24,5,7,1,4,3,3.9
1,24,5.5,4.5,3.5,5,4,4.05
1,18,4.5,4,4,4,3.5,3.8
2,48,6,2,6,4.5,3.5,3.85
