"education","gender","engnat","age","married","O","C","E","A","N","mach"
2,1,1,26,2,7,5,5.5,5,1,3.75
2,1,1,18,1,3.5,5,2,4,2,4.55
1,2,1,15,1,4.5,5,1,1,7,4.9
4,2,2,31,3,6,5.5,6,4.5,6.5,3.9
2,1,2,20,1,5,5,2,4,5,4.25
1,1,2,17,1,5,6,1.5,4.5,1.5,3.8
2,1,2,19,1,6.5,5,5,4,2.5,3.3
4,1,1,37,1,5,5.5,2,4,2,3.85
2,1,2,18,1,7,3,3.5,3.5,5.5,4.1
2,1,1,17,1,6,7,4.5,4.5,4.5,3.15
3,1,1,26,1,2.5,6,2,3,1.5,4.4
2,1,1,40,1,4,6,2,3,1.5,3.15
1,1,2,79,2,4,7,5.5,5.5,4,4.2
3,1,2,21,1,4.5,6,2.5,4,1,3.85
3,1,2,25,1,6,6.5,4,4,3.5,4.35
4,2,1,32,3,5.5,4.5,3.5,4,5.5,3
2,1,2,37,2,6.5,5,7,4,1.5,2.95
2,2,2,25,1,3,4,2.5,3,6.5,2.8
3,1,1,37,2,4,3.5,3.5,3.5,3.5,3.4
2,1,1,20,1,6,7,3,2,3,4.65
4,1,1,31,2,6.5,6,6,4.5,4.5,4.35
3,1,2,42,3,7,6,1,5,2,4.3
3,1,1,23,1,4.5,7,4,2.5,1.5,3.9
2,1,2,32,1,6.5,6,5.5,4,5,3.25
2,1,2,16,1,5,6,1,2,1.5,4.55
1,2,1,15,1,7,5,1,3.5,3.5,3.55
3,1,1,45,2,5,5,4.5,5.5,2.5,1.65
3,1,1,36,1,5.5,7,5,4,3,4.05
4,1,1,50,2,6.5,7,7,3.5,4,2.25
1,2,1,13,1,7,6,1,3.5,1,4
4,1,1,28,1,5,5.5,4.5,2.5,5,3.85
1,1,2,26,1,4.5,2,3.5,4,5,3
3,1,1,26,3,6.5,5.5,2.5,4.5,1,3.35
3,1,1,43,3,7,6,1.5,4.5,5.5,2.9
2,2,1,30,3,6,5.5,2.5,6,2.5,3.85
3,1,1,48,2,5.5,7,5,5,6.5,2.95
3,2,1,33,2,5.5,4.5,1,2.5,6,4.35
3,1,1,40,1,5.5,5,1,6.5,2,3.7
3,2,2,20,1,6,4.5,1,3,1,3.35
2,1,1,19,1,4.5,4,4.5,3.5,2.5,4.6
2,2,1,24,1,3.5,5,2.5,5.5,5.5,3.15
3,1,2,33,1,5,5,3,4.5,4,4
3,2,1,34,1,7,5,4,7,6,4.4
2,2,2,17,1,3,3,1.5,2.5,2.5,3.9
1,2,1,17,1,7,2.5,1,4,2.5,3.55
