"gender","age","O","C","E","A","N","mach"
2,53,6.5,7,6,6.5,3,2.1
1,32,6.5,7,7,7,2,3.3
2,31,5.5,7,2,2.5,5,3.75
2,23,4.5,6,5,1,6.5,4.5
1,21,4.5,2.5,3.5,3,2,4.15
2,25,7,3,2,5.5,5,2.5
2,21,4.5,2.5,6.5,5.5,3.5,3.3
1,40,7,5,4.5,5.5,1,3.65
2,26,3.5,2.5,2,4,4,3.75
1,27,5.5,7,3.5,5.5,2,4.45
1,27,4.5,1,2,2,7,3.05
2,18,5.5,6,3.5,3,4.5,3.65
2,17,4,4,1.5,2.5,1,3.3
1,20,5.5,5.5,5,4,2.5,3.6
1,15,4,3,1,4,5,3.65
2,44,6,4,2,4.5,7,3.35
2,24,6.5,3.5,3.5,5,5,3.65
1,18,5.5,5.5,3,5.5,3.5,2.6
1,16,7,5.5,5,4.5,1.5,3.75
1,24,6.5,1.5,2,2,5,4.55
1,18,5,4.5,3.5,5,1.5,1.55
2,21,5.5,6.5,4,4.5,4,2.55
2,50,6.5,7,4.5,6.5,1,2.75
1,34,6.5,6.5,2,3,1,3.4
1,27,6.5,5.5,7,7,1.5,2.75
2,56,6,6.5,6.5,6,5,2.6
1,22,6,4,1,6,6,3.95
2,45,5,4.5,5.5,5.5,2.5,2.1
1,17,7,5.5,5,6,2,4
2,20,5,4,5.5,2,3,3.2
1,24,7,6,3,4,1,3.9
2,48,4,4,4.5,4,6,4.05
2,17,7,5,6.5,5,6,2.75
1,26,5.5,5.5,2.5,5,4,4
2,24,7,5,6,5,3.5,2.4
1,21,6.5,7,3,3.5,1,4.5
2,43,6.5,7,3.5,6.5,3.5,4.05
1,27,7,7,4,6.5,3.5,3
2,16,4.5,3,2,2.5,4.5,4.05
2,22,6.5,4.5,6,2.5,3,4.35
1,25,5,4,2.5,3,4,3.25
1,26,5.5,6.5,3.5,4.5,3.5,3.75
1,39,4,6,3.5,5.5,1,4
2,28,6.5,6,3,5.5,3.5,2.15
2,27,6,6,4,4,5.5,3.9
1,32,7,6.5,6,4.5,6,4.55
1,17,5.5,2.5,3.5,3,6.5,4.9
1,31,4.5,5,3.5,5,2.5,4.75
1,16,7,6,3.5,1.5,5,3.95
1,24,6.5,6,3.5,5,4,2.75
1,18,4.5,5,2,3.5,3,3.1
1,17,6,3,4,1,1,4.5
1,31,6,4.5,1.5,2,3.5,3.7
1,63,5.5,5,6,6,3.5,3.15
2,20,5.5,4,7,4,6,3.35
1,23,5,3.5,2.5,4.5,1.5,4.1
2,14,7,3.5,3,2.5,6.5,4.15
2,55,4.5,7,2,2.5,1,3.25
2,30,6,4.5,4,5,4.5,3.15
2,22,5.5,6,6,5,2,1.85
2,29,5.5,2,1,3,6,3.05
1,15,5.5,2.5,6,2,5.5,3.8
1,49,6,7,4,4.5,3,1.8
1,20,5.5,6,4.5,6.5,1.5,3.2
2,20,4,7,7,5.5,3.5,2.25
2,54,4,5,5.5,5,4.5,2.35
2,31,5,6,3.5,6,4,3
1,24,7,4.5,3,2,1.5,4.25
2,33,2,5.5,1,4,2,3.45
1,21,6,6,6,4.5,2,2.7
2,35,3.5,4,3,4,2,3.15
2,40,5,6,4.5,6.5,1,3
1,21,6.5,7,6.5,4,4,3.05
1,22,7,6,5.5,2.5,2.5,4.3
1,18,5,5.5,2.5,3.5,6,3.3
1,25,5,4.5,3.5,3,4,4.85
1,16,7,3.5,2.5,1,2.5,4.6
1,18,5,4.5,4,2.5,2,2.95
2,66,5.5,4,3,6,2.5,3.15
1,48,6.5,6,5,4,2,4.25
1,35,5.5,4,4,5,3,4.05
1,55,7,3.5,2,5,1.5,3.15
2,25,4,5,3.5,3,6,3.75
2,38,6.5,3.5,5,4.5,5,3
1,24,6.5,7,5.5,4.5,4.5,2.25
1,16,6.5,5,7,4,2.5,4
1,27,5,3.5,5,4.5,1,3.75
2,25,5,5.5,3.5,4,5,3.1
2,24,7,1.5,7,4.5,1.5,3.8
1,42,6,3.5,5.5,5,6,3.05
2,19,5.5,6,4,5.5,3.5,2.35
2,22,6,4,5.5,2,4,3.8
2,21,7,6.5,3.5,4,3.5,4.45
1,16,3,4.5,2.5,2,2,4.6
1,35,3.5,6,1,5.5,2.5,3.4
2,38,6,4,2.5,6,1.5,2.5
2,36,7,3,6,4,6,3.85
2,17,7,4,6.5,3.5,2.5,4.05
2,14,5.5,4,4,6,4,2.6
1,19,3.5,3,2,2.5,6,4.1
2,15,3.5,6,1,6,4.5,3.3
1,19,5.5,2.5,3.5,2,5,4.4
1,18,4.5,4,1.5,2,5,4.55
2,23,4,5,3.5,2,5,3.1
2,22,4.5,7,2.5,4,4,3
1,40,7,4,4,6,1,3.9
2,44,2,7,2,3,5,2.75
1,17,4.5,4.5,2,3,2.5,4.3
1,20,6,6.5,1.5,3,3,4.3
2,64,7,7,7,6,5.5,3.35
2,24,6,3.5,4.5,5.5,3,3.75
1,14,7,3,7,4,3,3.35
1,31,6,6.5,7,3,5.5,4.05
2,57,6,6,6,4,2.5,2.05
1,16,4,1.5,1,2,4.5,4.45
1,17,6,4,7,5,5,3.7
1,25,3,5,2,6,2.5,2.2
1,35,7,6,5.5,4,2.5,2.7
2,16,7,4.5,3.5,6.5,5,4
2,19,6,4,4,7,3.5,2.25
1,71,4.5,7,2,7,5.5,3.75
2,39,4.5,7,1,1.5,5,4.85
1,16,7,5.5,2.5,4.5,4.5,2.75
2,13,5.5,5.5,6,4,3,2.1
1,60,1.5,7,4.5,2,1.5,4.15
1,17,6.5,3,5,3.5,5.5,3.1
1,24,4.5,3.5,3,5.5,3,3.95
1,17,5,3.5,2,5.5,5.5,3.9
2,19,7,4.5,3.5,3,4.5,3.45
1,17,6,4,1.5,2.5,4.5,4.45
1,36,5,4,1.5,3,3.5,4.3
2,42,4.5,6,2,5,2,2.45
1,16,6.5,2,3.5,2,2,4.75
1,35,6,5,2.5,4.5,3,2.65
1,21,4,3,2,5,6,2.7
2,59,6.5,4.5,6,4.5,6.5,2.25
1,38,5,2.5,3.5,4.5,6.5,3.75
2,41,6.5,1.5,6.5,4.5,5.5,3.5
1,37,5.5,4.5,4.5,4,2,3.4
1,27,4.5,7,3.5,1,2,4
2,16,4.5,6,4,5.5,1,3.05
1,52,7,7,4,3,1,3.05
1,20,4,4.5,4,4,6.5,4.45
2,19,5.5,5,4,4.5,4,2.15
1,26,6.5,4,2,5.5,3,2.45
2,27,5,1,2,4,7,3.75
1,20,4.5,3,2,3.5,5.5,3.9
1,34,5,6,4,3,1,2.5
2,16,5,3.5,4.5,3.5,6,4.55
2,51,5,4,2,4,5.5,3.3
2,51,7,6.5,2,5.5,1,3.65
1,21,6,7,7,6,1,2.4
1,32,5.5,3,2.5,4,5,2.5
1,22,6,2,4,1,1,4.8
2,13,6,5.5,6.5,5,6,2.35
1,61,6.5,6,6.5,3.5,2.5,4.25
1,28,5.5,6.5,5,5.5,3,4.15
2,16,5.5,6,4,3,4,4.65
1,15,3.5,6,3,4.5,2.5,3.4
1,31,2,3.5,4.5,4.5,6,3.25
2,19,7,6,5.5,1.5,3,4.05
1,21,4,6,3,6.5,5,2.2
2,53,1.5,7,4,4,3.5,3.25
2,48,5,6.5,6.5,6,5,2.05
1,21,4.5,7,4.5,3,2.5,4.45
2,44,3,4.5,3.5,6,5.5,2.75
1,36,7,1,2.5,1,6,4.3
1,24,4,4.5,1,3,4.5,4.45
1,20,6,6,1.5,5,1,3.95
2,62,6.5,4,4.5,6.5,4,2.35
2,39,6.5,4.5,2.5,4.5,4,4.15
2,54,6,4,2,3.5,2.5,3.45
2,16,6.5,5.5,2,5,3,3.25
1,40,6,4.5,3,6,2,2.35
1,20,3.5,3,1,5,4,3.95
1,36,6,5,6.5,4,6,2.8
1,29,6.5,6.5,6.5,3.5,1,3.2
2,37,6,6,6.5,7,4.5,2.7
2,19,3.5,1,1,5.5,4.5,3.2
2,20,7,7,1,1,1,4.75
1,25,4.5,6.5,4,2,1.5,3
1,20,6.5,2.5,2,4,5,3.95
2,34,7,7,3.5,6,2,1.9
1,51,4,2.5,1,5.5,3,2.05
1,32,5,6,6,6,4.5,3.5
2,22,5,4.5,6,6,3,2.85
2,33,6,3.5,2,3.5,6,2.45
2,31,6.5,5.5,1.5,6,4.5,2.25
1,48,5,7,3,4,3,3.1
