"education","gender","engnat","age","married","O","C","E","A","N","mach"
3,2,1,25,1,5.5,6.5,1.5,5,4.5,2.55
2,1,1,29,1,4,4.5,1,3,7,4.15
3,1,2,23,1,6,6.5,5,6,4.5,3.6
2,2,1,17,1,5,3.5,1,3,7,4.55
3,1,1,38,1,7,2,6.5,4,6.5,4.05
3,1,1,68,2,4,6.5,2,4,4,2.75
2,1,2,20,1,5,3.5,1,4,2.5,3.35
2,1,1,21,1,5.5,5,3,7,1,1.95
3,2,2,44,2,6,6,1,4.5,4,3.25
2,1,1,18,1,6.5,6.5,2,2.5,4,4.5
3,2,2,22,1,6.5,6,5,4,3,3.1
1,1,1,17,1,5.5,2.5,1,2.5,6.5,4.4
3,1,2,27,1,7,7,2.5,4,5,2.5
3,2,2,50,3,6.5,5.5,5.5,5,5.5,2.7
3,1,1,23,1,4.5,4.5,1,4.5,5.5,2.7
2,1,2,22,1,6,4,4.5,4.5,2,2.1
2,1,1,24,1,7,6,3.5,2.5,6.5,1.7
2,2,1,18,1,5,5.5,3.5,5,4,2.4
3,1,1,33,1,6.5,6,4.5,6.5,1,3.2
3,2,2,34,1,4,2.5,5.5,4,6,2.8
2,2,2,20,1,6,4.5,1.5,4,3,3.9
3,2,2,41,1,6.5,4,4,4.5,5,2.35
4,2,1,47,2,5,6.5,4,7,4,3.2
3,1,2,27,1,6.5,4.5,4,5,3.5,2.5
1,2,2,29,1,6,6,4,4,6,2.2
2,1,2,17,1,7,4,6,1,4.5,4.05
3,1,1,25,2,5.5,6.5,5,4,4.5,4.1
2,2,1,17,1,4,3.5,1,3.5,3.5,3.15
2,1,2,31,1,5,2.5,1,2.5,3.5,3.55
4,1,1,64,2,7,7,6,7,3.5,2.75
3,1,1,36,1,6,4,6.5,4,2,3.05
2,1,1,56,3,1,1.5,1,1.5,4,2.85
2,1,1,26,1,4,6.5,5.5,2,6,3.35
2,1,1,19,1,5.5,5,6.5,4,2.5,3.45
3,1,2,38,2,5,5,1,7,1.5,3.6
4,1,2,48,2,6.5,5.5,1.5,2.5,2,2.7
1,2,2,15,1,7,2,4,6,5.5,2.8
3,2,2,21,1,6.5,4.5,5.5,6,1.5,2.95
3,2,2,55,3,6.5,7,4.5,6,3.5,2
3,2,1,36,2,6.5,6,2.5,5.5,2,3.1
2,2,1,44,2,3,4.5,3.5,6,5.5,2.75
3,1,2,38,2,7,6.5,6,4.5,1,4.9
3,1,2,20,1,4.5,6,3.5,2,2.5,4.1
3,1,2,26,1,5,5,5.5,5.5,1.5,3.1
3,2,1,21,1,6.5,6.5,4.5,3.5,2,3.8
3,2,1,52,3,5,7,4,6,1,1.75
2,2,1,64,2,5.5,6,6,6,2,2.25
3,2,2,22,1,7,5,5.5,4,1.5,4.15
4,1,2,38,2,6.5,6.5,3,5.5,2,4.5
2,1,2,30,1,4,4,1.5,3.5,3.5,3.35
2,1,2,45,3,7,4.5,6.5,4,4,4
2,1,1,18,1,4.5,4,6,2,5,3.8
2,1,1,18,1,4.5,5.5,5,4.5,5,2.8
2,1,1,18,1,6,4,3,2,1.5,3.8
1,1,1,16,1,6,4,4,3.5,4.5,4.2
2,1,2,20,1,7,7,4,1,1,4.6
1,2,1,15,1,4.5,7,4.5,4.5,2,2.05
3,1,1,63,2,6,5.5,6,6,1.5,3.15
3,1,1,40,2,5.5,4,4,6,1.5,3.3
3,1,2,24,1,6,2,1.5,4,6.5,3.95
3,1,2,32,1,6.5,4,5.5,3,3.5,3.75
2,2,2,18,1,6,5.5,4.5,5,5,3.05
4,2,1,59,2,6.5,5.5,4,4,3,3.85
3,2,2,33,2,7,3.5,2,6,3,3.15
4,2,1,42,3,6,3,2.5,6.5,5,2.3
3,1,1,36,2,7,7,2.5,6.5,1.5,4.05
3,2,2,30,1,6,3.5,4.5,5.5,5.5,2.9
4,1,1,55,3,4,5,4,2,3.5,4
4,2,2,27,2,6,3,1,4.5,7,3.6
3,1,2,31,1,6,4.5,5,4,5,3.95
3,2,1,63,3,4.5,6,2,5,3.5,2.35
2,1,1,16,1,4,7,7,3.5,3,3.35
2,1,1,16,1,6,4.5,3.5,2,2,4.25
1,1,1,16,1,6.5,3.5,4.5,4,2.5,2.65
3,2,1,28,1,5.5,4.5,4.5,6.5,5,2.85
4,2,1,32,2,5.5,2,6,6.5,6.5,4.25
2,1,1,20,1,6,6,2,6,2,3.6
3,1,1,28,1,3.5,1.5,1,4,6.5,3.9
2,2,2,21,1,4.5,7,3.5,5,3.5,2.6
1,1,1,37,2,5.5,5,5,4.5,2,2.25
1,2,1,16,1,6,5.5,3,6,2.5,4.05
2,2,1,24,1,6.5,1,5.5,5,5.5,3.5
3,2,2,24,1,4,5.5,2.5,6,4,2.45
3,2,2,20,1,6,5.5,4,4.5,5.5,3.35
3,1,2,19,1,5.5,4.5,3,5.5,4.5,2.95
1,1,1,25,1,7,1.5,7,4,7,3.05
4,1,1,88,2,5,5.5,1.5,4,2,3.15
3,2,1,20,1,4,4.5,3.5,5.5,4,3.95
2,2,1,20,1,4.5,4.5,2.5,4,1.5,3.3
4,2,1,46,2,6,6.5,6,5,2.5,2
2,1,1,20,1,5,3.5,2,1.5,2,4.55
3,1,2,65,2,6.5,5,4.5,3.5,3,2.85
2,2,1,19,1,5.5,2,1.5,4.5,6,2.95
1,1,2,41,2,6.5,6,6.5,4.5,1,3.5
2,1,1,23,1,5.5,4.5,4.5,3.5,4,4.3
1,1,1,17,2,5,5.5,1.5,2.5,2,3.35
3,1,2,36,1,6.5,2.5,1.5,3.5,6.5,4.55
3,1,1,32,2,3.5,6.5,3,5.5,2.5,2.3
1,1,1,14,1,6.5,5.5,3.5,1,1.5,4.65
2,2,1,21,1,7,4,4.5,5.5,6,2.95
